step,pair_number,starting_floor,desired_floor
3,0,0,2
4,0,2,0
5,0,0,1
6,0,0,3
7,0,0,3
8,0,0,1
9,0,1,0
10,0,0,2
11,0,0,2
12,0,0,1
15,0,2,0
16,0,3,0
18,0,0,3
22,0,2,0
22,1,2,0
23,0,0,1
26,0,0,2
28,0,3,0
29,0,0,3
30,0,2,0
31,0,0,2
31,1,2,0
33,0,0,3
36,0,3,0
38,0,0,2
38,1,0,1
39,0,0,1
43,0,0,2
44,0,3,0
46,0,0,1
46,1,1,0
49,0,0,3
51,0,3,0
52,0,1,0
53,0,3,0
54,0,0,1
58,0,2,0
59,0,0,3
59,1,2,0
60,0,0,3
62,0,0,1
63,0,1,0
64,0,0,1
65,0,0,3
69,0,3,0
72,0,0,3
73,0,0,2
75,0,0,3
76,0,0,2
77,0,0,3
77,1,2,0
78,0,1,0
79,0,3,0
80,0,1,0
87,0,0,1
88,0,1,0
90,0,2,0
91,0,0,2
92,0,0,2
93,0,0,1
94,0,1,0
95,0,0,1
98,0,0,2
98,1,3,0
101,0,1,0
102,0,0,2
103,0,0,2
106,0,0,3
108,0,0,3
110,0,3,0
115,0,0,2
118,0,0,3
118,1,0,2
118,2,2,0
119,0,0,3
121,0,0,1
124,0,3,0
125,0,3,0
127,0,1,0
129,0,1,0
134,0,0,2
138,0,1,0
140,0,1,0
143,0,0,3
144,0,0,3
145,0,2,0
147,0,0,3
148,0,2,0
151,0,1,0
152,0,3,0
154,0,0,3
157,0,0,2
161,0,3,0
162,0,2,0
163,0,2,0
164,0,0,1
165,0,0,1
166,0,3,0
168,0,1,0
170,0,1,0
171,0,1,0
173,0,3,0
174,0,2,0
178,0,0,2
180,0,3,0
184,0,0,1
186,0,2,0
189,0,0,2
192,0,0,1
194,0,0,1
195,0,1,0
201,0,0,1
202,0,0,3
204,0,1,0
204,1,1,0
205,0,2,0
206,0,0,1
208,0,2,0
209,0,0,1
210,0,1,0
213,0,0,1
214,0,3,0
215,0,0,1
216,0,3,0
217,0,3,0
218,0,2,0
219,0,0,3
220,0,0,3
222,0,1,0
223,0,2,0
224,0,0,2
224,1,0,1
225,0,0,2
226,0,0,2
227,0,1,0
228,0,0,3
229,0,0,2
230,0,0,1
231,0,0,1
232,0,0,1
233,0,0,1
238,0,0,2
239,0,2,0
241,0,0,2
241,1,0,3
242,0,2,0
244,0,0,2
249,0,0,3
252,0,0,1
253,0,0,1
259,0,1,0
260,0,0,1
263,0,0,3
265,0,2,0
268,0,0,1
269,0,0,1
276,0,2,0
278,0,0,1
279,0,0,3
279,1,3,0
280,0,3,0
282,0,0,2
285,0,0,3
287,0,3,0
289,0,0,3
290,0,0,2
292,0,1,0
293,0,0,3
293,1,3,0
294,0,0,1
299,0,3,0
300,0,2,0
303,0,0,2
303,1,0,3
303,2,0,1
305,0,0,1
307,0,0,3
307,1,0,1
308,0,2,0
316,0,3,0
318,0,0,2
321,0,1,0
322,0,0,1
326,0,1,0
327,0,0,1
328,0,0,3
329,0,0,3
330,0,1,0
331,0,0,3
334,0,1,0
335,0,2,0
336,0,0,1
337,0,0,3
338,0,0,2
339,0,0,2
339,1,0,2
339,2,1,0
341,0,0,3
342,0,3,0
343,0,3,0
346,0,0,3
347,0,0,1
347,1,1,0
348,0,0,3
349,0,0,1
353,0,0,1
354,0,0,3
357,0,1,0
358,0,0,3
362,0,0,2
365,0,0,2
366,0,1,0
366,1,1,0
366,2,3,0
367,0,3,0
369,0,0,2
370,0,2,0
371,0,1,0
372,0,0,3
373,0,0,3
373,1,0,3
375,0,1,0
377,0,1,0
378,0,1,0
380,0,0,1
381,0,2,0
382,0,1,0
384,0,1,0
388,0,0,3
389,0,0,2
389,1,2,0
391,0,0,3
392,0,0,3
394,0,3,0
395,0,0,3
396,0,1,0
397,0,2,0
398,0,0,1
400,0,0,2
402,0,0,3
403,0,0,1
407,0,2,0
412,0,0,1
416,0,1,0
416,1,2,0
418,0,2,0
421,0,0,1
423,0,2,0
425,0,3,0
427,0,3,0
428,0,0,2
428,1,0,1
431,0,1,0
